`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 147, 'id': '56e19557e3433e1400422fee', 'loss': 0.0007912167347967625, 'grad_norm': 0.04679015651345253, 'input_tokens': 163, 'supervised_tokens': 5}
{'step': 148, 'id': '56e1aff7cd28a01900c67a69', 'loss': 0.0006546396762132645, 'grad_norm': 0.04131185635924339, 'input_tokens': 276, 'supervised_tokens': 3}
{'step': 149, 'id': '5ad5391e5b96ef001a10aba2', 'loss': 0.0001918989873956889, 'grad_norm': 0.006559520494192839, 'input_tokens': 183, 'supervised_tokens': 5}
{'step': 150, 'id': '56e17644e3433e1400422f41', 'loss': 0.0005345715908333659, 'grad_norm': 0.03533216938376427, 'input_tokens': 225, 'supervised_tokens': 5}
{'step': 151, 'id': '5ad54a375b96ef001a10ac4a', 'loss': 0.0008963181753642857, 'grad_norm': 0.07166226208209991, 'input_tokens': 286, 'supervised_tokens': 5}
{'step': 152, 'id': '5ad569c05b96ef001a10ae3a', 'loss': 0.0004779424925800413, 'grad_norm': 0.04797857254743576, 'input_tokens': 244, 'supervised_tokens': 5}
{'step': 153, 'id': '5ad54f775b96ef001a10ac88', 'loss': 0.00030244089430198073, 'grad_norm': 0.01975766383111477, 'input_tokens': 158, 'supervised_tokens': 5}
{'step': 154, 'id': '56e1aba0e3433e1400423095', 'loss': 0.0007818512385711074, 'grad_norm': 0.03856318071484566, 'input_tokens': 283, 'supervised_tokens': 4}
{'step': 155, 'id': '56e1e9dfe3433e14004231fe', 'loss': 0.0023328696843236685, 'grad_norm': 0.14335890114307404, 'input_tokens': 245, 'supervised_tokens': 6}
{'step': 156, 'id': '56e1c720e3433e140042316a', 'loss': 0.004938629921525717, 'grad_norm': 0.14752741158008575, 'input_tokens': 263, 'supervised_tokens': 5}
{'step': 157, 'id': '5ad560b85b96ef001a10ad1e', 'loss': 0.000562510802410543, 'grad_norm': 0.032655537128448486, 'input_tokens': 167, 'supervised_tokens': 5}
{'step': 158, 'id': '56e1c2eee3433e1400423136', 'loss': 0.0009369924082420766, 'grad_norm': 0.04108922556042671, 'input_tokens': 247, 'supervised_tokens': 7}
{'step': 159, 'id': '5ad546c75b96ef001a10ac12', 'loss': 0.00024979910813272, 'grad_norm': 0.014986652880907059, 'input_tokens': 279, 'supervised_tokens': 5}
{'step': 160, 'id': '56e1c4fce3433e1400423151', 'loss': 0.0001743438479024917, 'grad_norm': 0.027756085619330406, 'input_tokens': 171, 'supervised_tokens': 4}
