`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 87, 'id': '5ad54f775b96ef001a10ac8b', 'loss': 0.039815690368413925, 'grad_norm': 2.4722414016723633, 'input_tokens': 174, 'supervised_tokens': 5}
{'step': 88, 'id': '5ad543c05b96ef001a10ac01', 'loss': 0.007551457732915878, 'grad_norm': 0.3695862889289856, 'input_tokens': 278, 'supervised_tokens': 5}
{'step': 89, 'id': '5ad572b15b96ef001a10af09', 'loss': 0.03086613491177559, 'grad_norm': 1.7623786926269531, 'input_tokens': 233, 'supervised_tokens': 5}
{'step': 90, 'id': '56e1aba0e3433e1400423098', 'loss': 3.063140630722046, 'grad_norm': 48.2062873840332, 'input_tokens': 275, 'supervised_tokens': 3}
{'step': 91, 'id': '5ad5391e5b96ef001a10aba5', 'loss': 0.20685970783233643, 'grad_norm': 18.045988082885742, 'input_tokens': 183, 'supervised_tokens': 5}
{'step': 92, 'id': '5ad56fe65b96ef001a10aec3', 'loss': 0.016723645851016045, 'grad_norm': 1.1477086544036865, 'input_tokens': 155, 'supervised_tokens': 5}
{'step': 93, 'id': '56e1e9dfe3433e1400423200', 'loss': 0.3264021575450897, 'grad_norm': 6.858349323272705, 'input_tokens': 258, 'supervised_tokens': 11}
{'step': 94, 'id': '5ad5489b5b96ef001a10ac2b', 'loss': 0.003422817913815379, 'grad_norm': 0.2676345407962799, 'input_tokens': 194, 'supervised_tokens': 5}
{'step': 95, 'id': '5ad54c2f5b96ef001a10ac5f', 'loss': 0.003289880696684122, 'grad_norm': 0.2577953338623047, 'input_tokens': 144, 'supervised_tokens': 5}
{'step': 96, 'id': '5ad565575b96ef001a10adb4', 'loss': 0.002196486108005047, 'grad_norm': 0.08930512517690659, 'input_tokens': 195, 'supervised_tokens': 5}
{'step': 97, 'id': '56e181d9e3433e1400422fa3', 'loss': 0.6399112343788147, 'grad_norm': 31.457611083984375, 'input_tokens': 186, 'supervised_tokens': 4}
{'step': 98, 'id': '5ad560b85b96ef001a10ad1f', 'loss': 0.001466770889237523, 'grad_norm': 0.07942790538072586, 'input_tokens': 172, 'supervised_tokens': 5}
{'step': 99, 'id': '5ad5632f5b96ef001a10ad6c', 'loss': 0.0019529738929122686, 'grad_norm': 0.13322946429252625, 'input_tokens': 203, 'supervised_tokens': 5}
{'step': 100, 'id': '5ad56fe65b96ef001a10aec4', 'loss': 0.0005476357182487845, 'grad_norm': 0.013575568795204163, 'input_tokens': 151, 'supervised_tokens': 5}
{'step': 101, 'id': '5ad54a375b96ef001a10ac49', 'loss': 0.0010169651359319687, 'grad_norm': 0.044206127524375916, 'input_tokens': 272, 'supervised_tokens': 5}
{'step': 102, 'id': '56e1ce08e3433e14004231a6', 'loss': 0.41384682059288025, 'grad_norm': 21.06778907775879, 'input_tokens': 202, 'supervised_tokens': 7}
{'step': 103, 'id': '5ad55fe75b96ef001a10ad0d', 'loss': 0.012595528736710548, 'grad_norm': 0.560300886631012, 'input_tokens': 123, 'supervised_tokens': 5}
